UniqueCount	AmbigCount
1	143
0	8
4	534
0	0
0	2
0	0
0	0
0	3
0	2
0	0
0	0
0	0
0	0
0	0
8	35
0	2
4	21
0	6
0	2
0	12
635	23
71	351
0	14
0	3
352	37
0	0
0	108
0	8
0	1
14	58
2	3
13	30
0	18
9	728
2	407
0	466
0	458
0	422
0	285
47	71
1	0
0	141
0	5
0	2
0	5
0	3
0	41
0	1
0	4
0	9
15	12
0	4
0	4
4	0
0	86
0	53
0	34
0	44
0	21
0	18
8	41
0	25
0	19
8	10
0	9
1	3
1	2
0	16
0	16
0	2
0	0
0	0
0	10
24	364
0	2
0	0
0	3
0	5
0	5
32	92
0	4
0	4
1	14
0	5
0	0
0	20
0	9
0	4
0	5
0	0
0	0
34	9700
236	19591
6	16229
0	0
7	3913
1	3
2755	24566
29	5674
0	0
0	0
0	10
174	1400
0	4
0	0
17	30
0	15
0	14
0	16
0	8
0	14
0	19
8	17
0	14
0	11
0	26
0	11
0	13
0	13
0	10
0	8
0	16
12	9
0	12
25	12
0	7
0	0
0	0
0	8
0	8
0	8
0	8
0	8
0	6
0	10
8	47
2	22
13	22
0	2
16	5
0	3
0	9
2	2
0	6
7	233
5	50
0	286
7	4
6	251
0	14
0	250
0	64
0	150
0	3
1	25
1	10
1	23
5	204
0	171
0	2
0	30
3	195
0	12
0	173
0	12
0	6
0	36
0	10
0	9
19	3
0	9
24	10
1	27
0	6
0	21
0	0
0	0
0	0
6	2
0	1
1	0
0	0
0	0
0	1888
0	1888
0	0
0	1888
0	4
0	4
0	4
0	4
0	3
0	1890
8	6
0	0
0	0
0	0
0	0
455	5218
14	4108
61	5425
0	0
17	216
308	40
97	224
13	227
16	7
1	33
8	2
8	109
1	45
4	48
0	0
0	14
0	65
0	65
0	65
2	0
128	1111
257	1095
57	757
29	595
0	6236
0	3704
1696	6235
0	1
0	0
13	7294
0	6905
0	6654
0	7043
0	17
12	204
7	44
3	6
78	20
85	4996
0	93
8	145
4	145
0	143
6	0
1	108
0	69
2	0
88	0
5	1842
10	1845
15	2061
0	1978
55	1554
0	1857
5	1782
0	111
4	857
0	504
0	309
5	321
3	102
4	43
2	59
0	49
0	8
0	7
4	3
149	18
54	0
0	0
0	0
0	0
723	0
15	39
0	38
0	38
0	39
0	2
12	17
0	4
0	0
0	3
0	2
0	2
0	0
0	0
1	3
0	3
0	0
55	3135
65	3443
1	2718
0	3135
12	2076
13	1760
0	559
0	157
1994	0
3	59
9	32
39	64
2	11
1	3
55	1
1	2072
1	2155
0	2080
1	1271
22	1074
1	767
1	707
3	93
0	517
2	376
0	38
0	97
0	197
1	126
28	121
0	7
2	44
0	28
8	45
3	0
3	0
1	0
0	32
0	10
0	32
2	32
0	0
0	32
0	0
0	7
3	1108
5	1190
0	878
0	375
3	4
0	24
3	32
2	1
2	37
0	15
20	4
0	12
0	0
0	0
706	2437
44	470
10	192
11	1189
14	1323
1	3551
0	4291
0	4291
0	3898
1	2493
4	2136
0	3999
0	4331
0	3881
215	3115
15	2708
7	3693
0	4239
0	3857
0	3572
0	2370
0	2587
0	778
1	208
5	265
0	1246
0	337
0	337
