UniqueCount	AmbigCount
0	209
0	12
15	896
0	0
0	3
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
6	48
0	5
4	18
0	8
0	6
0	21
281	35
70	401
2	25
0	11
315	21
0	7
8	125
0	14
0	0
15	44
0	3
16	29
0	20
11	966
1	517
1	551
0	543
0	459
0	317
56	66
1	1
0	163
0	13
0	2
0	13
0	6
0	31
0	0
0	2
3	10
6	13
0	2
0	5
7	3
0	156
0	73
0	85
4	100
0	37
4	40
13	80
1	42
0	46
8	11
0	28
2	20
2	4
1	34
0	39
0	10
0	0
0	0
0	31
48	412
0	5
0	0
0	6
0	17
1	17
6	62
0	13
0	13
2	27
0	4
0	0
0	20
0	14
0	2
0	7
0	5
0	1
34	4731
146	9578
6	13265
0	0
4	2451
0	4
1669	18226
10	4032
0	0
0	0
0	23
190	1605
0	4
1	0
4	29
0	15
0	21
0	19
0	13
0	18
0	13
10	10
0	16
0	19
3	51
0	20
0	16
0	22
0	13
0	10
0	13
3	11
0	6
12	6
0	13
0	1
2	1
0	12
0	10
0	11
0	10
0	10
0	10
0	14
9	68
0	19
6	20
0	2
15	17
0	6
4	20
0	11
0	10
36	379
13	133
0	512
7	14
17	413
0	28
0	416
1	113
3	299
0	18
0	42
0	27
0	61
1	354
1	265
0	11
0	65
2	322
0	32
1	262
0	32
0	11
0	82
0	25
1	29
38	5
3	1
24	3
1	34
0	5
0	30
0	1
0	0
1	1
23	2
0	0
11	3
0	2
0	0
0	931
0	930
0	0
0	931
0	7
0	7
0	7
0	7
0	4
0	933
6	12
0	0
0	0
0	0
0	0
1696	10154
20	4096
139	10146
0	0
83	1122
255	39
188	446
30	455
26	31
19	114
28	10
15	156
0	115
7	126
0	7
0	15
0	39
0	39
0	39
14	0
203	1544
296	1513
65	1077
66	759
0	5825
0	3487
1814	5824
0	2
4	0
25	9603
1	8813
0	8409
0	9199
0	39
10	227
10	53
4	6
39	49
145	5497
0	63
25	287
21	287
0	277
10	4
4	125
3	135
7	1
208	1
17	2281
25	2276
36	2645
0	2495
154	1834
2	2329
12	2207
1	127
5	1264
3	790
0	441
3	468
6	170
13	97
6	100
6	95
0	41
3	13
5	7
73	11
55	0
0	0
0	0
0	0
529	0
21	13
0	33
0	33
0	12
0	1
4	17
0	3
0	0
0	0
