UniqueCount	AmbigCount
2	315
0	25
3	1028
0	0
0	2
0	0
0	0
0	2
0	2
0	0
0	1
0	0
0	0
0	0
5	68
0	5
1	8
0	17
0	10
0	40
474	37
69	418
1	13
0	10
168	23
0	1
2	88
2	4
0	2
17	47
0	1
16	25
1	33
24	1326
5	559
3	586
0	584
0	524
0	357
50	54
0	0
0	216
0	5
0	3
0	5
0	2
0	34
0	2
0	7
0	12
9	24
0	5
0	13
0	4
0	112
0	65
0	64
3	69
0	33
0	20
3	33
1	31
0	26
6	8
0	16
1	8
1	4
0	9
0	8
0	5
0	0
0	0
0	20
34	439
0	15
0	0
0	5
0	22
0	22
17	76
0	14
0	19
0	35
0	15
0	0
0	7
0	16
0	6
0	13
0	2
0	1
18	7935
197	13267
3	13637
0	0
7	3254
0	4
2549	26408
20	5382
0	0
0	0
0	27
161	1504
0	4
0	0
7	25
0	12
0	14
0	14
0	11
0	12
0	12
2	9
0	14
0	12
2	32
0	10
0	13
0	12
0	11
0	10
0	11
6	4
0	4
7	4
0	9
0	0
2	0
0	4
0	4
0	4
0	3
0	3
0	1
0	6
2	48
0	10
5	10
0	0
16	9
0	2
5	12
3	5
0	4
47	333
4	97
1	437
4	8
16	350
0	21
0	368
1	92
2	217
1	9
0	30
0	17
0	38
1	268
0	243
0	7
0	52
2	283
1	20
1	220
0	20
0	6
0	64
0	17
0	14
33	12
3	3
25	4
0	57
0	7
0	44
0	0
0	0
0	0
16	6
2	1
22	0
0	0
0	0
0	1457
0	1457
0	0
0	1457
0	2
0	2
0	2
0	2
0	0
0	1458
4	3
0	0
0	0
0	0
0	0
1062	7966
29	4664
67	8101
0	0
46	614
269	49
146	360
18	339
18	31
11	44
18	1
18	126
0	102
7	107
0	3
0	16
0	31
0	31
1	31
17	0
141	1273
210	1253
58	908
39	671
0	8233
0	5018
2464	8231
0	0
4	0
17	11223
2	10413
0	10027
0	10837
0	39
16	219
5	80
2	4
49	65
72	7106
0	92
17	220
18	218
0	216
9	0
3	130
1	103
1	0
115	0
7	2442
14	2436
18	2792
0	2636
66	2007
0	2500
8	2355
0	183
4	1231
3	811
2	414
7	441
3	145
10	81
8	69
2	67
0	27
0	15
3	5
65	18
71	0
0	0
0	0
0	0
652	0
11	23
0	44
0	44
0	23
0	1
4	13
0	4
0	0
2	5
0	5
2	7
0	2
0	3
0	0
1	0
0	0
70	7457
259	8124
1	6430
0	7457
14	4216
6	3492
6	1291
0	434
3573	0
3	32
3	16
58	37
1	12
2	8
38	6
6	3218
11	3445
0	3242
4	2017
44	1855
5	1420
1	1295
2	107
0	1004
9	766
0	95
0	184
0	344
0	245
27	261
0	19
3	72
3	74
8	131
15	5
0	0
0	0
0	19
0	9
0	19
0	19
0	0
0	19
0	0
1	4
4	1425
18	1592
1	1254
0	710
1	7
0	51
1	77
1	6
5	88
0	36
12	11
4	21
0	1
0	0
1090	3380
76	735
24	302
23	1798
59	1700
1	5000
1	6896
0	6887
0	5859
2	3335
9	2502
0	6213
0	7070
1	5854
244	4608
21	3498
2	5420
0	6840
0	5841
0	5312
0	4339
0	4830
0	1386
0	359
8	451
0	2700
0	566
0	677
0	557
4	322
0	418
1	755
0	23
0	142
0	1059
7	502
1	496
0	818
1	726
0	710
0	7
0	1
1	284
2	689
0	467
9	239
2	322
0	258
0	120
0	105
0	100
0	124
0	2
0	9
6	5
0	0
37	0
19	851
2161	995
9	184
14	0
4	3913
125	4125
0	3246
1	311
0	267
2	239
0	34
4	41
0	0
0	0
0	1
0	2
0	2
2	2
0	0
0	0
0	1
0	0
0	0
148	25340
2545	25030
95	25011
435	25174
209	938
15	197
2	0
0	2819
24	3156
14	2449
19	2105
5	2991
0	2394
0	2184
0	2517
0	2292
0	716
8	958
1	154
1	83
0	114
5	96
0	586
0	16
3	123
0	7
3	28
1	1839
29	1885
33	1899
0	1858
0	27
0	27
0	1721
15	1740
0	809
4002	5847
16	4062
42	4808
88	136
48	1785
10	425
0	8
134	206
0	26
1	26
0	26
0	3
0	3
0	0
1	0
10	14
9	14
4	15
12	17
1	1371
82	6525
2036	7884
6	159
105	294
0	0
15	15
88	5052
0	4100
81	4860
32	222
18	3483
58	2480
6	1
0	1
11	7644
26	5483
0	7400
0	6070
4	7374
0	16
2	330
7	1242
0	4
0	4
9	0
5460	12344
10	10969
0	1459
719	311
0	14
49	192
0	0
0	0
0	0
237	0
0	1280
0	1314
0	1251
0	1311
1	1246
0	1283
1	1286
34	151
0	11
1	1001
0	23
2	788
6	143
5	15
0	38
0	1310
3	415
0	19
0	1245
0	1104
0	6
0	6
3	1198
0	17
0	2
0	0
9	60
1	519
8	353
7	605
0	182
0	158
0	2
0	12
5	11
0	12
0	5
0	4
0	5
0	6
0	2
0	2
32	2387
1	2377
10	1839
0	2013
0	1957
0	1605
0	1604
0	1605
0	636
4	43
19	271
15	3219
0	3196
6	462
101	222
9	26
2	0
0	10
132	1759
0	1232
0	219
1	735
1	1083
3	1169
3	1438
0	1525
0	1501
0	1389
13	24
3	75
6	43
0	5
7	116
1	9
1	4
5	40
0	89
22	537
3	103
0	52
26	45
184	1034
3	2
44	116
0	1
0	4
10	220
4	70
4	163
0	96
17	2099
1	2061
0	1888
2	775
2	7
1	243
5	117
0	39
2	179
0	53
3	40
2	115
2	197
4	141
1	140
0	66
0	0
30	9396
1	8622
63	9646
10	768
3	2018
1	610
8	905
1	342
0	28
8	84
6	0
0	0
0	0
0	0
0	0
25	277
4	223
2	17
3	73
23	78
0	4
0	0
0	0
0	0
0	0
0	0
15	20
0	0
0	0
28	28
0	0
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	43
0	0
0	0
0	0
0	0
0	0
0	0
213	3065
3	126
3	26
0	25
0	25
1	27
0	2917
0	29
0	2072
0	83
0	149
0	95
0	140
1	101
1	203
0	177
0	119
3	67
0	32
0	113
0	11
0	2737
5	117
4	1374
6	2185
6	63
75	39
27	1
12	3
33	1971
42	2072
137	3646
7	4323
3	2356
380	1895
6	2085
22	4240
4	3869
104	3901
33	3738
63	1174
12	2515
4	7
10	0
2	0
339	3
0	0
0	2
1	1
0	2
9	2
3	189
1	157
25	200
0	8
158	48
10	19
45	86
0	106
161	66
5	51
5	27
3	0
141	0
0	0
31	0
151	7488
0	1008
47	10591
1	3239
5	34
33	6612
5	2195
34	5050
1	1017
58	3783
0	3935
0	2559
0	2646
3	391
6	101
0	31
0	25
2	25
3	0
0	36
0	36
0	36
0	37
0	31
0	25
0	27
1	0
0	0
18	1095
0	1042
6	621
1	112
2	40
0	5
0	5
0	68
0	95
15	35
0	2
4	32
15	0
0	109
0	109
6	65
0	25
20	34
6	32
7	42
4	14
0	417
8	617
26	621
2	617
6	433
66	1991
0	1480
4	197
0	196
57	447
62	957
0	1509
0	70
15	382
0	0
5	158
0	0
8	0
1	806
0	830
3	7670
2	7510
0	8003
1	7659
0	1107
0	7939
0	1019
4	371
0	261
8	376
21	7360
0	113
5	6933
14	1746
106	1910
0	295
5	298
2	29
67	66
5	20
0	0
0	0
0	3
47	13
0	10
2	0
1	0
0	0
9	1
2	1
5	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
14	8
1	0
65	0
0	0
468	4696
1	4696
0	4644
0	270
1	55
2	180
48	3684
18	0
226	349
11	266
2	55
2	128
0	20
0	42
0	10
0	0
8	0
1334	6657
0	6657
541	1840
328	1843
91	30
46	488
